ingredient_name,name_fr,category,country_code,fr_reference_price_eur_per_100g,price_per_100g,currency,package_size,package_unit,notes
Stale bread,Pain rassis,starch,US,1.039,,USD,,,
Sugar,Sucre,other,CA,0.089,,CAD,,,
Sugar,Sucre,other,CA,0.089,,CAD,,,
Sugar,Sucre,other,GB,0.089,,GBP,,,
Sugar,Sucre,other,GB,0.089,,GBP,,,
Sugar,Sucre,other,US,0.089,,USD,,,
Sugar,Sucre,other,US,0.089,,USD,,,
Suya spice powder,Poudre de Suya,spice,CA,,,CAD,,,
Suya spice powder,Poudre de Suya,spice,GB,,,GBP,,,
Suya spice powder,Poudre de Suya,spice,US,,,USD,,,
Sweet potato,Patate douce,vegetable,CA,0.279,,CAD,,,
Sweet potato,Patate douce,vegetable,GB,0.279,,GBP,,,
Sweet potato,Patate douce,vegetable,US,0.279,,USD,,,
Taro,Taro,starch,CA,0.499,,CAD,,,
Taro,Taro,starch,GB,0.499,,GBP,,,
Taro,Taro,starch,US,0.499,,USD,,,
Teff Flour,Farine de teff,starch,CA,,,CAD,,,
Teff Flour,Farine de teff,starch,GB,,,GBP,,,
Teff Flour,Farine de teff,starch,US,,,USD,,,
Teff flour,Farine de teff,starch,CA,,,CAD,,,
Teff flour,Farine de teff,starch,GB,,,GBP,,,
Teff flour,Farine de teff,starch,US,,,USD,,,
Thiof fish,Poisson (Thiof),fish,CA,0.838,,CAD,,,
Thiof fish,Poisson (Thiof),fish,GB,0.838,,GBP,,,
Thiof fish,Poisson (Thiof),fish,US,0.838,,USD,,,
Thyme,Thym,spice,CA,2.786,,CAD,,,
Thyme,Thym,spice,GB,2.786,,GBP,,,
Thyme,Thym,spice,US,2.786,,USD,,,
Tomato,Tomate,vegetable,CA,0.429,,CAD,,,
Tomato,Tomate,vegetable,GB,0.429,,GBP,,,
Tomato,Tomate,vegetable,US,0.429,,USD,,,
Tomato paste,Tomate concentrée,condiment,CA,0.482,,CAD,,,
Tomato paste,Tomate concentrée,condiment,GB,0.482,,GBP,,,
Tomato paste,Tomate concentrée,condiment,US,0.482,,USD,,,
Turmeric,Curcuma,spice,CA,5.667,,CAD,,,
Turmeric,Curcuma,spice,GB,5.667,,GBP,,,
Turmeric,Curcuma,spice,US,5.667,,USD,,,
Turnip,Navet,vegetable,CA,,,CAD,,,
Turnip,Navet,vegetable,GB,,,GBP,,,
Turnip,Navet,vegetable,US,,,USD,,,
Unripe plantain,Banane plantain non mûre,starch,CA,0.349,,CAD,,,
Unripe plantain,Banane plantain non mûre,starch,GB,0.349,,GBP,,,
Unripe plantain,Banane plantain non mûre,starch,US,0.349,,USD,,,
Vegetable oil,Huile végétale,fat,CA,0.265,,CAD,,,
Vegetable oil,Huile végétale,fat,GB,0.265,,GBP,,,
Vegetable oil,Huile végétale,fat,US,0.265,,USD,,,
Vinegar,Vinaigre,condiment,CA,0.055,,CAD,,,
Vinegar,Vinaigre,condiment,GB,0.055,,GBP,,,
Vinegar,Vinaigre,condiment,US,0.055,,USD,,,
Water,Eau,liquid,CA,,,CAD,,,
Water,Eau,liquid,GB,,,GBP,,,
Water,Eau,liquid,US,,,USD,,,
Wheat Flour,Farine de blé,starch,CA,0.056,,CAD,,,
Wheat Flour,Farine de blé,starch,GB,0.056,,GBP,,,
Wheat Flour,Farine de blé,starch,US,0.056,,USD,,,
Wheat flour,Farine de blé,starch,CA,0.056,,CAD,,,
Wheat flour,Farine de blé,starch,GB,0.056,,GBP,,,
Wheat flour,Farine de blé,starch,US,0.056,,USD,,,
White beans,Haricots blancs,legume,CA,0.225,,CAD,,,
White beans,Haricots blancs,legume,GB,0.225,,GBP,,,
White beans,Haricots blancs,legume,US,0.225,,USD,,,
White cabbage,Chou blanc,vegetable,CA,,,CAD,,,
White cabbage,Chou blanc,vegetable,GB,,,GBP,,,
White cabbage,Chou blanc,vegetable,US,,,USD,,,
White hibiscus leaves (Bissap),Feuilles de bissap blanc (hibiscus),herb,CA,,,CAD,,,
White hibiscus leaves (Bissap),Feuilles de bissap blanc (hibiscus),herb,GB,,,GBP,,,
White hibiscus leaves (Bissap),Feuilles de bissap blanc (hibiscus),herb,US,,,USD,,,
Whole chicken,Poulet entier,protein,CA,0.799,,CAD,,,
Whole chicken,Poulet entier,protein,GB,0.799,,GBP,,,
Whole chicken,Poulet entier,protein,US,0.799,,USD,,,
Worcestershire sauce,Sauce Worcestershire,condiment,CA,2.327,,CAD,,,
Worcestershire sauce,Sauce Worcestershire,condiment,GB,2.327,,GBP,,,
Worcestershire sauce,Sauce Worcestershire,condiment,US,2.327,,USD,,,
Yam,Igname,starch,CA,0.499,,CAD,,,
Yam,Igname,starch,GB,0.499,,GBP,,,
Yam,Igname,starch,US,0.499,,USD,,,
Yogurt,Yaourt,dairy,CA,0.170,,CAD,,,
Yogurt,Yaourt,dairy,GB,0.170,,GBP,,,
Yogurt,Yaourt,dairy,US,0.170,,USD,,,
