ingredient_name,name_fr,category,country_code,fr_reference_price_eur_per_100g,price_per_100g,currency,package_size,package_unit,notes
Captain fish,Poisson capitaine,fish,CA,,,CAD,,,
Captain fish,Poisson capitaine,fish,GB,,,GBP,,,
Captain fish,Poisson capitaine,fish,US,,,USD,,,
Cardamom,Cardamome,spice,CA,7.286,,CAD,,,
Cardamom,Cardamome,spice,GB,7.286,,GBP,,,
Cardamom,Cardamome,spice,US,7.286,,USD,,,
Carrot,Carotte,vegetable,CA,0.193,,CAD,,,
Carrot,Carotte,vegetable,GB,0.193,,GBP,,,
Carrot,Carotte,vegetable,US,0.193,,USD,,,
Cashew nuts,Noix de cajou,nut,CA,,,CAD,,,
Cashew nuts,Noix de cajou,nut,GB,,,GBP,,,
Cashew nuts,Noix de cajou,nut,US,,,USD,,,
Cassava,Manioc,starch,CA,0.499,,CAD,,,
Cassava,Manioc,starch,GB,0.499,,GBP,,,
Cassava,Manioc,starch,US,0.499,,USD,,,
Cassava Flour,Farine de manioc,starch,CA,,,CAD,,,
Cassava Flour,Farine de manioc,starch,GB,,,GBP,,,
Cassava Flour,Farine de manioc,starch,US,,,USD,,,
Cassava flour,Farine de manioc,starch,CA,,,CAD,,,
Cassava flour,Farine de manioc,starch,GB,,,GBP,,,
Cassava flour,Farine de manioc,starch,US,,,USD,,,
Celery,Céleri,vegetable,CA,,,CAD,,,
Celery,Céleri,vegetable,GB,,,GBP,,,
Celery,Céleri,vegetable,US,,,USD,,,
Chicken,Poulet,protein,CA,1.190,,CAD,,,
Chicken,Poulet,protein,GB,1.190,,GBP,,,
Chicken,Poulet,protein,US,1.190,,USD,,,
Chicken stock cube,Bouillon de poulet,condiment,CA,1.112,,CAD,,,
Chicken stock cube,Bouillon de poulet,condiment,GB,1.112,,GBP,,,
Chicken stock cube,Bouillon de poulet,condiment,US,1.112,,USD,,,
Chickpea flour,Farine de pois chiches,legume,CA,1.496,,CAD,,,
Chickpea flour,Farine de pois chiches,legume,GB,1.496,,GBP,,,
Chickpea flour,Farine de pois chiches,legume,US,1.496,,USD,,,
Chickpea powder Shiro,Pois chiches en poudre (Shiro),legume,CA,,,CAD,,,
Chickpea powder Shiro,Pois chiches en poudre (Shiro),legume,GB,,,GBP,,,
Chickpea powder Shiro,Pois chiches en poudre (Shiro),legume,US,,,USD,,,
Chickpeas,Pois chiches,legume,CA,0.283,,CAD,,,
Chickpeas,Pois chiches,legume,GB,0.283,,GBP,,,
Chickpeas,Pois chiches,legume,US,0.283,,USD,,,
Chinese noodles,Nouilles chinoises,starch,CA,,,CAD,,,
Chinese noodles,Nouilles chinoises,starch,GB,,,GBP,,,
Chinese noodles,Nouilles chinoises,starch,US,,,USD,,,
Chopped cassava leaves,Feuilles de manioc hachées,vegetable,CA,,,CAD,,,
Chopped cassava leaves,Feuilles de manioc hachées,vegetable,GB,,,GBP,,,
Chopped cassava leaves,Feuilles de manioc hachées,vegetable,US,,,USD,,,
Cinnamon,Cannelle,spice,CA,2.257,,CAD,,,
Cinnamon,Cannelle,spice,GB,2.257,,GBP,,,
Cinnamon,Cannelle,spice,US,2.257,,USD,,,
Clarified butter,Beurre clarifié (Niter Kibbeh),fat,CA,,,CAD,,,
Clarified butter,Beurre clarifié (Niter Kibbeh),fat,GB,,,GBP,,,
Clarified butter,Beurre clarifié (Niter Kibbeh),fat,US,,,USD,,,
Cloves,Clou de girofle,spice,CA,,,CAD,,,
Cloves,Clou de girofle,spice,GB,,,GBP,,,
Cloves,Clou de girofle,spice,US,,,USD,,,
Cocoa Powder,Cacao en poudre,other,CA,,,CAD,,,
Cocoa Powder,Cacao en poudre,other,GB,,,GBP,,,
Cocoa Powder,Cacao en poudre,other,US,,,USD,,,
Coconut milk,Lait de coco,liquid,CA,0.625,,CAD,,,
Coconut milk,Lait de coco,liquid,GB,0.625,,GBP,,,
Coconut milk,Lait de coco,liquid,US,0.625,,USD,,,
Cod,Cabillaud,,CA,1.998,,CAD,,,
Cod,Cabillaud,,GB,1.998,,GBP,,,
Cod,Cabillaud,,US,1.998,,USD,,,
Cod fish,Morue,fish,CA,1.698,,CAD,,,
Cod fish,Morue,fish,GB,1.698,,GBP,,,
Cod fish,Morue,fish,US,1.698,,USD,,,
Coriander,Coriandre,spice,CA,0.990,,CAD,,,
Coriander,Coriandre,spice,GB,0.990,,GBP,,,
Coriander,Coriandre,spice,US,0.990,,USD,,,
Corn flour,Farine de maïs,starch,CA,0.569,,CAD,,,
Corn flour,Farine de maïs,starch,GB,0.569,,GBP,,,
Corn flour,Farine de maïs,starch,US,0.569,,USD,,,
Corn kernels,Maïs en grains,starch,CA,,,CAD,,,
Corn kernels,Maïs en grains,starch,GB,,,GBP,,,
Corn kernels,Maïs en grains,starch,US,,,USD,,,
Cornmeal,Farine de maïs,starch,CA,,,CAD,,,
Cornmeal,Farine de maïs,starch,GB,,,GBP,,,
Cornmeal,Farine de maïs,starch,US,,,USD,,,
Couscous,Couscous,starch,CA,0.169,,CAD,,,
Couscous,Couscous,starch,GB,0.169,,GBP,,,
Couscous,Couscous,starch,US,0.169,,USD,,,
Crab,Crabe,fish,CA,2.636,,CAD,,,
Crab,Crabe,fish,GB,2.636,,GBP,,,
Crab,Crabe,fish,US,2.636,,USD,,,
Creme fraiche,Crème fraîche,dairy,CA,0.310,,CAD,,,
Creme fraiche,Crème fraîche,dairy,GB,0.310,,GBP,,,
Creme fraiche,Crème fraîche,dairy,US,0.310,,USD,,,
Cumin,Cumin,spice,CA,7.375,,CAD,,,
Cumin,Cumin,spice,GB,7.375,,GBP,,,
Cumin,Cumin,spice,US,7.375,,USD,,,
Curdled milk,Lait caillé,dairy,CA,0.170,,CAD,,,
Curdled milk,Lait caillé,dairy,GB,0.170,,GBP,,,
Curdled milk,Lait caillé,dairy,US,0.170,,USD,,,
Curry powder,Curry en poudre,spice,CA,1.310,,CAD,,,
Curry powder,Curry en poudre,spice,GB,1.310,,GBP,,,
Curry powder,Curry en poudre,spice,US,1.310,,USD,,,
Dijon mustard,Moutarde de Dijon,condiment,CA,0.458,,CAD,,,
Dijon mustard,Moutarde de Dijon,condiment,GB,0.458,,GBP,,,
Dijon mustard,Moutarde de Dijon,condiment,US,0.458,,USD,,,
Dried chili,Piment sec,spice,CA,1.832,,CAD,,,
Dried chili,Piment sec,spice,GB,1.832,,GBP,,,
Dried chili,Piment sec,spice,US,1.832,,USD,,,
Dried crayfish,Écrevisses séchées,dried_fish,CA,,,CAD,,,
Dried crayfish,Écrevisses séchées,dried_fish,GB,,,GBP,,,
Dried crayfish,Écrevisses séchées,dried_fish,US,,,USD,,,
Dried fava beans,Fèves sèches,legume,CA,,,CAD,,,
Dried fava beans,Fèves sèches,legume,GB,,,GBP,,,
Dried fava beans,Fèves sèches,legume,US,,,USD,,,
Dried fish Guedj,Poisson séché (Guedj),dried_fish,CA,,,CAD,,,
Dried fish Guedj,Poisson séché (Guedj),dried_fish,GB,,,GBP,,,
Dried fish Guedj,Poisson séché (Guedj),dried_fish,US,,,USD,,,
Dried fish powder,Poudre de poisson séché,dried_fish,CA,,,CAD,,,
Dried fish powder,Poudre de poisson séché,dried_fish,GB,,,GBP,,,
Dried fish powder,Poudre de poisson séché,dried_fish,US,,,USD,,,
Dried shellfish Yet,Yet (mollusque séché),dried_fish,CA,,,CAD,,,
Dried shellfish Yet,Yet (mollusque séché),dried_fish,GB,,,GBP,,,
Dried shellfish Yet,Yet (mollusque séché),dried_fish,US,,,USD,,,
Dried shrimp powder,Poudre de crevette séchée,dried_fish,CA,1.925,,CAD,,,
