ingredient_name,name_fr,category,price_fr_eur_per_100g,source_fr,verdict_fr,package_size_fr,package_unit_fr,price_gb_gbp_per_100g,source_gb,package_size_gb,package_unit_gb,price_us_usd_per_100g,source_us,package_size_us,package_unit_us,price_ca_cad_per_100g,source_ca,package_size_ca,package_unit_ca,notes
Taro,Taro,starch,0.499,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Teff Flour,Farine de teff,starch,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Teff flour,Farine de teff,starch,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Thiof fish,Poisson (Thiof),fish,0.838,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Thyme,Thym,spice,2.786,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Tomato,Tomate,vegetable,0.429,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Tomato paste,Tomate concentrée,condiment,0.482,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Turmeric,Curcuma,spice,5.667,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Turnip,Navet,vegetable,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Unripe plantain,Banane plantain non mûre,starch,0.349,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Vegetable oil,Huile végétale,fat,0.265,carrefour_fr,PASS,1000.0,ml,,,,,,,,,,,,,
Vinegar,Vinaigre,condiment,0.055,carrefour_fr,PASS,1000.0,ml,,,,,,,,,,,,,
Water,Eau,liquid,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Wheat Flour,Farine de blé,starch,0.056,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Wheat flour,Farine de blé,starch,0.056,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
White beans,Haricots blancs,legume,0.225,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
White cabbage,Chou blanc,vegetable,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
White hibiscus leaves (Bissap),Feuilles de bissap blanc (hibiscus),herb,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Whole chicken,Poulet entier,protein,0.799,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Worcestershire sauce,Sauce Worcestershire,condiment,2.327,carrefour_fr,PASS,1000.0,ml,,,,,,,,,,,,,
Yam,Igname,starch,0.499,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Yogurt,Yaourt,dairy,0.170,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
